Address,link,price,beds,baths,sqft,view_yn,yr_built,cooling_yn,senior_community_yn,style,county,new_construction_yn,has_hoa
7157 SW Sagert St #107,https://www.redfin.com/OR/Tualatin/7157-SW-Sagert-St-97062/unit-107/home/26641004,320000,2,2.5,1129,No,1996,No,No,Condo/Co-op,Washington County,No,Yes
8232 SW Shenandoah Way,https://www.redfin.com/OR/Tualatin/8232-SW-Shenandoah-Way-97062/home/26627889,300000,3,1.5,1027,Yes,1972,No,No,Condo/Co-op,Washington County,No,Yes
21208 SW Arapaho Ct,https://www.redfin.com/OR/Tualatin/21208-SW-Arapaho-Ct-97062/home/26687220,699900,4,2.5,1969,No,1976,No,No,Single Family Residential,Washington County,No,No
8875 SW Nisqually,https://www.redfin.com/OR/Tualatin/8875-SW-Nisqually-Ct-97062/home/26728776,569000,4,3.0,1824,No,1972,Yes,No,Single Family Residential,Washington County,No,No
9776 SW Tualatin Rd,https://www.redfin.com/OR/Tualatin/9776-SW-Tualatin-Rd-97062/home/26620009,275000,2,1.0,1072,No,1981,No,No,Condo/Co-op,Washington County,No,Yes
9215 SW Stono Dr,https://www.redfin.com/OR/Tualatin/9215-SW-Stono-Dr-97062/home/26683153,670000,3,2.5,2254,No,1995,Yes,No,Single Family Residential,Washington County,No,No
9495 SW Cherry Ln,https://www.redfin.com/OR/Tualatin/9495-SW-Cherry-Ln-97062/home/26665014,655000,4,2.5,2251,No,1996,Yes,No,Condo/Co-op,Washington County,No,Yes
9280 SW Stono Dr,https://www.redfin.com/OR/Tualatin/9280-SW-Stono-Dr-97062/home/25769983,579999,4,2.5,1857,Yes,1996,Yes,No,Single Family Residential,Washington County,No,No
13464 SW Ute St,https://www.redfin.com/OR/Tualatin/13464-SW-Ute-St-97062/home/26691599,500000,3,2.0,1737,No,1996,No,No,Single Family Residential,Washington County,No,No
8285 SW Chelan St,https://www.redfin.com/OR/Tualatin/8285-SW-Chelan-St-97062/home/26687789,489000,3,1.0,1034,No,1981,Yes,No,Single Family Residential,Washington County,No,No
6323 SW Delker Rd,https://www.redfin.com/OR/Tualatin/6323-SW-Delker-Rd-97062/home/165857677,2325000,5,3.5,4191,Yes,1984,Yes,No,Single Family Residential,Clackamas County,No,No
21867 SW Dakota Dr,https://www.redfin.com/OR/Tualatin/21867-SW-Dakota-Dr-97062/home/26594962,499000,3,2.0,1521,No,1980,Yes,No,Single Family Residential,Washington County,No,No
24411 SW Stafford Rd,https://www.redfin.com/OR/Tualatin/24411-SW-Stafford-Rd-97062/home/25911760,815000,4,2.0,2034,Yes,1970,Yes,No,Single Family Residential,Clackamas County,No,No
20918 SW Winema Ct,https://www.redfin.com/OR/Tualatin/20918-SW-Winema-Ct-97062/home/26689187,566000,3,2.5,1728,Yes,1978,Yes,No,Single Family Residential,Washington County,No,No
8294 SW Mohawk St,https://www.redfin.com/OR/Tualatin/8294-SW-Mohawk-St-97062/home/26664334,227500,2,1.0,904,No,1980,No,No,Condo/Co-op,Washington County,No,Yes
9435 SW Siletz Dr,https://www.redfin.com/OR/Tualatin/9435-SW-Siletz-Dr-97062/home/26689642,575000,4,3.0,2210,No,1978,Yes,No,Single Family Residential,Washington County,No,No
21172 SW Iroquois Dr,https://www.redfin.com/OR/Tualatin/21172-SW-Iroquois-Dr-97062/home/26730593,552500,3,2.0,1386,No,1979,Yes,No,Single Family Residential,Washington County,No,No
7380 SW Norwood Rd,https://www.redfin.com/OR/Tualatin/7380-SW-Norwood-Rd-97062/home/26556360,1526000,6,5.0,5616,Yes,2003,Yes,No,Single Family Residential,Washington County,No,No
10345 SW 103rd Ct,https://www.redfin.com/OR/Tualatin/10345-SW-103rd-Ct-97062/home/26684318,660000,3,2.5,1698,No,1976,Yes,No,Single Family Residential,Washington County,No,No
