Address,link,price,beds,baths,sqft,view_yn,yr_built,cooling_yn,has_hoa,senior_community_yn,style,county,new_construction_yn
100 Kerr Pkwy #8,https://www.redfin.com/OR/Lake-Oswego/100-Kerr-Pkwy-97035/unit-8/home/25850303,159900,1,1,617,Yes,1970,No,Yes,No,Condo/Co-op,Clackamas County,No
2815 SW Orchard Hill Pl,https://www.redfin.com/OR/Lake-Oswego/2815-Orchard-Hill-Pl-97035/home/26485233,900000,4,3,2911,Yes,1985,Yes,No,No,Single Family Residential,Multnomah County,No
23 Becket,https://www.redfin.com/OR/Lake-Oswego/23-Becket-St-97035/home/26552952,920000,5,4,4478,Yes,1988,Yes,Yes,No,Single Family Residential,Multnomah County,No
16538 SW Carnegie Ave,https://www.redfin.com/OR/Lake-Oswego/16538-Carnegie-Ave-97035/home/25945610,520000,3,1.5,1189,No,1969,No,No,No,Single Family Residential,Clackamas County,No
40 Condolea Ct,https://www.redfin.com/OR/Lake-Oswego/40-Condolea-Ct-97035/home/25740981,1175000,3,3,2958,No,1972,No,No,No,Condo/Co-op,Multnomah County,No
100 Kerr Pkwy #24,https://www.redfin.com/OR/Lake-Oswego/100-Kerr-Pkwy-97035/unit-24/home/26040547,150000,1,1,617,No,1970,No,Yes,No,Condo/Co-op,Clackamas County,No
5225 Jean Rd #501,https://www.redfin.com/OR/Lake-Oswego/5225-Jean-Rd-97035/unit-501/home/26075798,440000,3,2,1500,No,1993,Yes,Yes,No,Condo/Co-op,Clackamas County,No
5651 LA Mesa Ct,https://www.redfin.com/OR/Lake-Oswego/5651-La-Mesa-Ct-97035/home/26001876,1175000,4,2.5,2718,No,1991,Yes,Yes,No,Single Family Residential,Clackamas County,No
6355 SW Dawn St,https://www.redfin.com/OR/Lake-Oswego/6355-SW-Dawn-St-97035/home/25982396,610000,3,2,1268,No,1965,No,No,No,Single Family Residential,Clackamas County,No
5512 SW Childs Rd,https://www.redfin.com/OR/Lake-Oswego/5512-Childs-Rd-97035/home/25924204,604000,4,2,1928,Yes,1963,Yes,No,No,Single Family Residential,Clackamas County,No
4537 Heritage Ln,https://www.redfin.com/OR/Lake-Oswego/4537-Heritage-Ln-97035/home/25789980,759000,3,2.5,1619,Yes,1959,Yes,No,No,Single Family Residential,Clackamas County,No
4000 Carman Dr Unit D57,https://www.redfin.com/OR/Lake-Oswego/4000-Carman-Dr-97035/unit-D57/home/25851975,291000,2,2,836,Yes,1988,No,Yes,No,Condo/Co-op,Clackamas County,No
27 Oriole Ln,https://www.redfin.com/OR/Lake-Oswego/27-Oriole-Ln-97035/home/25764297,650000,4,2.5,1851,No,1982,Yes,Yes,No,Single Family Residential,Multnomah County,No
18434 Sandpiper Cir,https://www.redfin.com/OR/Lake-Oswego/18434-Sandpiper-Cir-97035/home/25944085,824900,4,2.5,1849,No,1975,Yes,Yes,No,Single Family Residential,Clackamas County,No
13869 Amberwood Cir,https://www.redfin.com/OR/Lake-Oswego/13869-Amberwood-Cir-97035/home/26006581,1575000,4,2.5,3405,No,1993,Yes,Yes,No,Single Family Residential,Clackamas County,No
4340 Lakeview Blvd,https://www.redfin.com/OR/Lake-Oswego/4340-Lakeview-Blvd-97035/home/183781840,3199056,5,4.5,3915,No,2022,No,No,No,Single Family Residential,Clackamas County,No
