Address,link,price,beds,baths,sqft,view_yn,yr_built,cooling_yn,has_hoa,senior_community_yn,style,county,new_construction_yn
39 Spinosa,https://www.redfin.com/OR/Lake-Oswego/39-Spinosa-97035/home/25765502,663000,3,2.5,2069,Yes,1985,Yes,Yes,No,Single Family Residential,Multnomah County,No
3876 Lake Grove Ave,https://www.redfin.com/OR/Lake-Oswego/3876-Lake-Grove-Ave-97035/home/173930906,2395000,5,3.5,4205,No,2023,Yes,No,No,Single Family Residential,Clackamas County,Yes
82 Oswego,https://www.redfin.com/OR/Lake-Oswego/82-Oswego-Smt-97035/home/26665596,269900,2,2,1212,Yes,1978,No,Yes,No,Condo/Co-op,Multnomah County,No
16643 SW Roosevelt Ave,https://www.redfin.com/OR/Lake-Oswego/16643-Roosevelt-Ave-97035/home/25940280,525000,4,2,2222,Yes,1948,No,No,No,Single Family Residential,Clackamas County,No
4401 Cobb Way,https://www.redfin.com/OR/Lake-Oswego/4401-Cobb-Way-97035/home/26051741,825650,3,2,1620,No,1965,No,No,No,Single Family Residential,Clackamas County,No
5050 Lower Dr,https://www.redfin.com/OR/Lake-Oswego/5050-Lower-Dr-97035/home/26029528,685000,3,2.5,1278,Yes,1920,Yes,No,No,Single Family Residential,Clackamas County,No
100 Kerr Pkwy #40,https://www.redfin.com/OR/Lake-Oswego/100-Kerr-Pkwy-97035/unit-40/home/25844869,270000,2,1.5,823,Yes,1970,No,Yes,No,Condo/Co-op,Clackamas County,No
84 Kingsgate Rd,https://www.redfin.com/OR/Lake-Oswego/84-Kingsgate-Rd-97035/home/26021175,630000,3,2.5,1701,No,1987,No,Yes,No,Single Family Residential,Clackamas County,No
17522 Bryant Rd,https://www.redfin.com/OR/Lake-Oswego/17522-Bryant-Rd-97035/home/25946953,1745000,4,4,3616,No,2018,Yes,No,No,Single Family Residential,Clackamas County,No
5722 Fernbrook Way,https://www.redfin.com/OR/Lake-Oswego/5722-Fernbrook-Way-97035/home/25999585,680000,3,2,1580,Yes,1964,No,No,No,Single Family Residential,Clackamas County,No
100 Kerr Pkwy #54,https://www.redfin.com/OR/Lake-Oswego/100-Kerr-Pkwy-97035/unit-54/home/25822399,165000,1,1,617,No,1970,No,Yes,No,Condo/Co-op,Clackamas County,No
4047 Jefferson Pkwy,https://www.redfin.com/OR/Lake-Oswego/4047-Jefferson-Pkwy-97035/home/26017370,355000,3,2.5,1259,Yes,1979,Yes,Yes,No,Condo/Co-op,Clackamas County,No
317 Cervantes,https://www.redfin.com/OR/Lake-Oswego/317-Cervantes-97035/home/26359940,340000,2,2,1209,Yes,1979,No,Yes,No,Condo/Co-op,Multnomah County,No
154 Oswego Smt #22,https://www.redfin.com/OR/Lake-Oswego/154-Oswego-Smt-97035/unit-22/home/26479442,275000,2,2,1506,Yes,1979,Yes,Yes,No,Condo/Co-op,Multnomah County,No
53 Touchstone,https://www.redfin.com/OR/Lake-Oswego/53-Touchstone-97035/home/25983479,880000,5,3.5,3079,Yes,1971,Yes,Yes,No,Single Family Residential,Clackamas County,No
123 Oswego Smt,https://www.redfin.com/OR/Lake-Oswego/123-Oswego-Smt-97035/home/26538801,279000,2,2,1212,No,1978,No,Yes,No,Condo/Co-op,Multnomah County,No
4 Touchstone #77,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-77/home/26070589,307500,3,2.5,1351,Yes,1970,Yes,Yes,No,Condo/Co-op,Clackamas County,No
4 Touchstone Dr #147,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-147/home/25736708,321000,3,2.5,1351,Yes,1970,Yes,Yes,No,Condo/Co-op,Clackamas County,No
4375 Southshore Blvd,https://www.redfin.com/OR/Lake-Oswego/4375-Southshore-Blvd-97035/home/25755143,10500000,5,5.5,6147,Yes,1935,Yes,Yes,No,Single Family Residential,Clackamas County,No
15112 Quarry Rd,https://www.redfin.com/OR/Lake-Oswego/15112-Quarry-Rd-97035/home/25861144,1620000,6,4.5,3953,Yes,1947,Yes,No,No,Single Family Residential,Clackamas County,No
17700 Bryant Rd,https://www.redfin.com/OR/Lake-Oswego/17700-Bryant-Rd-97035/home/26086184,635689,3,1.5,1572,No,1960,No,No,No,Single Family Residential,Clackamas County,No
18538 Hallberg Ct,https://www.redfin.com/OR/Lake-Oswego/18538-Hallberg-Ct-97035/home/25909263,535000,3,1,870,No,1966,Yes,No,No,Single Family Residential,Clackamas County,No
3926 Carman Dr,https://www.redfin.com/OR/Lake-Oswego/3926-Carman-Dr-97035/home/25749190,375000,2,2.5,1259,No,1997,No,Yes,No,Condo/Co-op,Clackamas County,No
5132 Timbergrove St,https://www.redfin.com/OR/Lake-Oswego/5132-Timbergrove-St-97035/home/25924084,612000,3,2,1439,No,1968,No,No,No,Single Family Residential,Clackamas County,No
29 Oswego Smt,https://www.redfin.com/OR/Lake-Oswego/29-Oswego-Smt-97035/home/26427053,209000,1,1,669,No,1978,Yes,Yes,No,Condo/Co-op,Multnomah County,No
25 Crestfield Ct #25,https://www.redfin.com/OR/Lake-Oswego/25-Crestfield-Ct-97035/unit-25/home/26060044,292122,2,2,989,No,1980,No,No,No,Condo/Co-op,Clackamas County,No
4 Touchstone #126,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-126/home/25982371,268900,2,2,984,Yes,1970,Yes,Yes,No,Condo/Co-op,Clackamas County,No
146 Oswego,https://www.redfin.com/OR/Lake-Oswego/146-Oswego-Smt-97035/home/26621877,309900,2,2,1212,Yes,1978,Yes,Yes,No,Condo/Co-op,Multnomah County,No
5320 Chinook Ct,https://www.redfin.com/OR/Lake-Oswego/5320-Chinook-Ct-97035/home/25946962,560000,3,1.5,1008,No,1973,Yes,No,No,Single Family Residential,Clackamas County,No
